binary__offer_expiration,ordinal__income_range,ordinal__no_visited_cold_drinks,binary__travelled_more_than_15mins_for_offer,ordinal__restaur_spend_less_than20,nominal__marital_status,nominal__restaurant_type,ordinal__age,binary__prefer_western_over_chinese,binary__travelled_more_than_25mins_for_offer,ordinal__no_visited_bars,binary__gender,nominal__car,binary__restuarant_same_direction_house,binary__cooks_regularly,nominal__customer_type,ordinal__qualif,binary__is_foodie,ordinal__no_take_aways,nominal__job_industry,binary__restuarant_opposite_direction_house,binary__has_children,ordinal__type_of_rest_rating,interval__temperature,ordinal__restaur_spend_greater_than20,interval__travel_time,interval__season,ordinal__dest_distance,binary__prefer_home_food,target,nominal__pref_profile,nominal__biz_type,nominal__spend_id,nominal__direction,nominal__extra_travel,nominal__circumstance
48,8,3,1,1,0,0,4,0,0,1,1,0,0,1,0,4,0,2,0,0,0,4,67,1,22,1,2,0,0,1,1,6,0,2,6
48,7,3,0,3,0,1,7,0,0,0,1,0,1,1,0,4,0,2,0,0,1,3,89,2,18,2,2,0,1,1,3,13,1,0,1
48,7,1,1,2,1,2,2,1,0,0,1,1,1,0,0,4,1,2,1,1,1,4,67,1,7,3,1,1,1,14,5,7,3,2,9
10,3,1,0,2,1,1,6,1,0,0,0,0,1,0,0,2,1,2,2,0,1,3,89,2,7,2,0,0,0,6,2,12,1,0,1
48,8,0,1,2,1,0,1,0,1,1,1,0,0,0,0,2,1,4,2,1,0,3,40,1,7,2,0,0,0,4,1,7,2,3,12
10,0,3,1,4,2,1,7,1,0,0,1,0,0,0,0,4,1,4,2,1,0,0,40,1,22,1,0,0,1,6,2,9,2,2,8
48,0,1,1,2,1,2,0,0,0,0,0,0,1,1,1,2,1,4,3,0,0,0,89,0,7,1,0,0,1,5,5,2,1,2,19
48,4,0,1,2,0,3,7,0,0,2,1,0,0,0,1,4,0,3,3,1,1,0,40,1,10,2,2,0,0,0,7,7,2,2,20
10,1,1,1,1,1,3,5,1,0,0,1,0,0,1,2,2,1,1,4,1,1,1,89,0,7,2,0,0,0,7,6,1,2,2,31
10,6,3,1,2,0,0,5,1,0,1,1,0,0,0,3,5,0,4,5,1,1,0,67,1,22,3,2,0,1,2,0,7,2,2,41
48,4,1,1,2,0,0,2,0,0,0,1,0,0,0,3,4,0,2,6,1,0,0,40,0,18,2,1,1,0,8,1,2,2,2,41
48,7,2,0,1,0,2,6,0,0,1,0,0,0,1,3,5,1,2,7,1,1,3,89,2,10,3,1,1,1,13,5,11,2,0,36
10,8,3,1,3,1,3,1,1,0,2,0,0,0,0,0,4,1,2,3,1,0,4,67,2,22,2,2,1,0,14,6,13,2,2,8
10,1,1,0,2,1,2,1,1,0,0,0,0,1,1,0,4,0,4,1,0,0,0,89,0,7,2,1,1,0,11,4,2,1,0,1
48,3,1,1,4,1,1,2,1,0,0,1,0,0,1,1,2,0,2,8,1,0,4,89,4,18,1,1,0,1,3,3,24,2,2,20
48,2,1,1,1,0,3,1,1,0,0,1,0,0,1,1,2,0,2,0,1,1,4,89,1,7,2,0,0,0,3,7,6,2,2,20
10,6,1,1,2,0,2,5,1,0,0,1,0,0,0,1,3,0,3,0,1,1,3,89,1,18,3,2,1,0,10,4,7,2,2,20
10,8,3,1,2,0,2,4,0,0,1,0,0,0,1,0,5,0,2,9,1,1,1,67,1,7,2,0,0,0,1,4,7,2,2,8
48,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,1,1,3,1,0,0,89,0,7,3,0,1,1,12,9,0,2,0,2
48,8,2,0,1,0,2,1,1,0,2,0,0,1,1,2,3,1,2,7,0,0,2,40,1,7,2,0,1,0,15,5,6,1,0,25
10,7,0,1,4,0,2,3,0,1,0,0,0,0,1,0,5,0,3,7,1,1,2,89,3,18,2,2,0,0,1,4,19,2,3,12
48,0,2,1,3,1,4,3,0,1,0,1,0,0,1,0,3,0,3,6,1,0,0,89,2,10,2,2,1,0,9,9,13,2,3,12
48,8,3,0,3,1,2,1,0,0,1,0,0,1,0,0,4,0,2,2,0,0,1,89,2,18,2,2,0,1,0,5,13,1,0,1
48,3,4,0,2,1,2,6,1,0,0,0,0,0,0,0,3,0,2,10,1,0,2,40,1,18,2,2,0,1,2,5,7,2,0,2
10,2,1,1,2,1,2,7,1,0,0,1,0,0,1,0,4,0,3,11,1,1,1,40,1,10,2,1,1,0,11,4,7,2,2,8
48,2,3,0,2,1,1,1,1,0,2,0,0,0,0,0,4,0,2,3,1,0,4,40,1,7,3,0,1,0,10,3,7,2,0,2
48,6,1,0,2,1,1,3,0,0,0,1,0,0,1,1,3,1,4,1,1,0,4,67,1,14,3,2,1,0,13,3,7,2,0,46
10,3,1,1,3,3,4,3,1,0,2,1,0,1,1,0,4,0,3,2,0,1,1,89,1,7,3,0,0,0,3,8,8,1,2,7
10,4,0,0,2,1,3,2,1,0,3,0,0,1,1,0,4,1,3,6,0,0,4,89,1,7,2,0,1,1,15,6,7,1,0,1
48,1,1,1,1,3,0,2,1,0,0,0,0,0,0,2,4,0,1,12,1,0,4,89,1,14,2,0,1,0,10,1,6,2,2,31
