,binary__offer_expiration,ordinal__income_range,ordinal__no_visited_cold_drinks,binary__travelled_more_than_15mins_for_offer,ordinal__restaur_spend_less_than20,nominal__marital_status,nominal__restaurant_type,ordinal__age,binary__prefer_western_over_chinese,binary__travelled_more_than_25mins_for_offer,ordinal__no_visited_bars,binary__gender,nominal__car,binary__restuarant_same_direction_house,binary__cooks_regularly,nominal__customer_type,ordinal__qualif,binary__is_foodie,ordinal__no_take_aways,nominal__job_industry,binary__restuarant_opposite_direction_house,binary__has_children,ordinal__type_of_rest_rating,interval__temperature,ordinal__restaur_spend_greater_than20,interval__travel_time,interval__season,ordinal__dest_distance,binary__prefer_home_food,nominal__pref_profile,nominal__biz_type,nominal__spend_id,nominal__direction,nominal__extra_travel,nominal__circumstance,target
0,1,8,3,1,1,0,0,4,0,0,1,1,0,0,1,0,4,0,2,0,0,0,4,67,1,22,1,2,0,1,1,6,0,2,6,0.0
1,1,7,3,0,3,0,1,7,0,0,0,1,0,1,1,0,4,0,2,0,0,1,3,89,2,18,2,2,0,1,3,13,1,0,1,1.0
2,1,7,1,1,2,1,2,2,1,0,0,1,1,1,0,0,4,1,2,1,1,1,4,67,1,7,3,1,1,14,5,7,3,2,9,1.0
3,0,3,1,0,2,1,1,6,1,0,0,0,0,1,0,0,2,1,2,2,0,1,3,89,2,7,2,0,0,6,2,12,1,0,1,0.0
4,1,8,0,1,2,1,0,1,0,1,1,1,0,0,0,0,2,1,4,2,1,0,3,40,1,7,2,0,0,4,1,7,2,3,12,0.0
5,0,0,3,1,4,2,1,7,1,0,0,1,0,0,0,0,4,1,4,2,1,0,0,40,1,22,1,0,0,6,2,9,2,2,8,1.0
6,1,0,1,1,2,1,2,0,0,0,0,0,0,1,1,1,2,1,4,3,0,0,0,89,0,7,1,0,0,5,5,2,1,2,19,1.0
7,1,4,0,1,2,0,3,7,0,0,2,1,0,0,0,1,4,0,3,3,1,1,0,40,1,10,2,2,0,0,7,7,2,2,20,0.0
8,0,1,1,1,1,1,3,5,1,0,0,1,0,0,1,2,2,1,1,4,1,1,1,89,0,7,2,0,0,7,6,1,2,2,31,0.0
9,0,6,3,1,2,0,0,5,1,0,1,1,0,0,0,3,5,0,4,5,1,1,0,67,1,22,3,2,0,2,0,7,2,2,41,1.0
10,1,4,1,1,2,0,0,2,0,0,0,1,0,0,0,3,4,0,2,6,1,0,0,40,0,18,2,1,1,8,1,2,2,2,41,0.0
11,1,7,2,0,1,0,2,6,0,0,1,0,0,0,1,3,5,1,2,7,1,1,3,89,2,10,3,1,1,13,5,11,2,0,36,1.0
12,0,8,3,1,3,1,3,1,1,0,2,0,0,0,0,0,4,1,2,3,1,0,4,67,2,22,2,2,1,14,6,13,2,2,8,0.0
13,0,1,1,0,2,1,2,1,1,0,0,0,0,1,1,0,4,0,4,1,0,0,0,89,0,7,2,1,1,11,4,2,1,0,1,0.0
14,1,3,1,1,4,1,1,2,1,0,0,1,0,0,1,1,2,0,2,8,1,0,4,89,4,18,1,1,0,3,3,24,2,2,20,1.0
15,1,2,1,1,1,0,3,1,1,0,0,1,0,0,1,1,2,0,2,0,1,1,4,89,1,7,2,0,0,3,7,6,2,2,20,0.0
16,0,6,1,1,2,0,2,5,1,0,0,1,0,0,0,1,3,0,3,0,1,1,3,89,1,18,3,2,1,10,4,7,2,2,20,0.0
17,0,8,3,1,2,0,2,4,0,0,1,0,0,0,1,0,5,0,2,9,1,1,1,67,1,7,2,0,0,1,4,7,2,2,8,0.0
18,1,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,1,1,3,1,0,0,89,0,7,3,0,1,12,9,0,2,0,2,1.0
19,1,8,2,0,1,0,2,1,1,0,2,0,0,1,1,2,3,1,2,7,0,0,2,40,1,7,2,0,1,15,5,6,1,0,25,0.0
20,0,7,0,1,4,0,2,3,0,1,0,0,0,0,1,0,5,0,3,7,1,1,2,89,3,18,2,2,0,1,4,19,2,3,12,0.0
21,1,0,2,1,3,1,4,3,0,1,0,1,0,0,1,0,3,0,3,6,1,0,0,89,2,10,2,2,1,9,9,13,2,3,12,0.0
22,1,8,3,0,3,1,2,1,0,0,1,0,0,1,0,0,4,0,2,2,0,0,1,89,2,18,2,2,0,0,5,13,1,0,1,1.0
23,1,3,4,0,2,1,2,6,1,0,0,0,0,0,0,0,3,0,2,10,1,0,2,40,1,18,2,2,0,2,5,7,2,0,2,1.0
24,0,2,1,1,2,1,2,7,1,0,0,1,0,0,1,0,4,0,3,11,1,1,1,40,1,10,2,1,1,11,4,7,2,2,8,0.0
